year,bw,bs,bn,sum bn92,sumbn95,,area,vol92,vol95,vol92is,vol95is,dvol,dvolis,sumbn97
1992,2.063,-0.717,1.346,1.345,0.000,1.345,8100,10.9,0.0,12.1,0.0,10.9,12.1,-1.300
1993,1.803,-0.563,1.240,2.585,0.000,2.585,8100,20.9,0.0,23.3,0.0,10.0,11.2,-0.060
1994,1.744,-1.265,0.479,3.064,0.000,3.064,8100,24.8,0.0,27.6,0.0,3.9,4.3,0.419
1995,1.567,-1.646,-0.079,2.985,-0.079,2.985,8100,24.2,-0.6,26.9,-0.7,-0.6,-0.7,0.340
1996,1.550,-1.890,-0.340,2.645,-0.419,2.645,8100,21.4,-3.4,23.8,-3.8,-2.8,-3.1,0.000
1997,1.124,-2.482,-1.358,1.287,-1.777,1.287,8100,10.4,-14.4,11.6,-16.0,-11.0,-12.2,-1.358
1998,1.141,-2.087,-0.946,0.341,-2.723,0.341,8100,2.8,-22.1,3.1,-24.5,-7.7,-8.5,-2.304
1999,1.291,-1.992,-0.701,-0.360,-3.424,-0.360,8100,-2.9,-27.7,-3.2,-30.8,-5.7,-6.3,-3.005
2000,1.459,-2.300,-0.841,-1.201,-4.265,-1.201,8100,-9.7,-34.5,-10.8,-38.4,-6.8,-7.6,-3.846
2001,1.335,-1.950,-0.615,-1.816,-4.880,-1.816,8100,-14.7,-39.5,-16.3,-43.9,-5.0,-5.5,-4.461
2002,1.520,-1.910,-0.390,-2.206,-5.270,-2.206,8100,-17.9,-42.7,-19.9,-47.4,-3.2,-3.5,-4.851
2003,1.890,-2.590,-0.700,-2.906,-5.970,-2.906,8100,-23.5,-48.4,-26.2,-53.7,-5.7,-6.3,-5.551
2004,1.377,-2.350,-0.973,-3.879,-6.943,-3.879,8100,-31.4,-56.2,-34.9,-62.5,-7.9,-8.8,-6.524
2005,1.130,-2.488,-1.359,-5.238,-8.302,-5.238,8100,-42.4,-67.2,-47.1,-74.7,-11.0,-12.2,-7.883
2006,1.542,-2.347,-0.805,-6.043,-9.107,-6.043,8000,-48.9,-73.7,-54.3,-81.9,-6.4,-7.2,-8.688
2007,1.595,-2.157,-0.562,-6.605,-9.669,-6.605,8000,-53.4,-78.2,-59.3,-86.9,-4.5,-5.0,-9.250
2008,1.752,-2.379,-0.627,-7.232,-10.296,-7.232,8000,-58.4,-83.2,-64.9,-92.4,-5.0,-5.6,-9.877
2009,1.707,-1.986,-0.279,-7.511,-10.575,-7.511,8000,-60.6,-85.4,-67.3,-94.9,-2.2,-2.5,-10.156
2010,1.322,-3.336,-2.014,-9.525,-12.589,-9.525,8000,-76.7,-101.5,-85.3,-112.8,-16.1,-17.9,-12.170
2011,1.965,-1.987,-0.022,-9.547,-12.611,-9.547,7950,-76.9,-101.7,-85.4,-113.0,-0.2,-0.2,-12.192
2012,1.702,-2.565,-0.863,-10.410,-13.474,-10.410,7950,-83.8,-108.6,-93.1,-120.6,-6.9,-7.6,-13.055
2013,1.648,-1.847,-0.199,-10.609,-13.673,-10.609,7950,-85.3,-110.2,-94.8,-122.4,-1.6,-1.8,-13.254
2014,1.697,-2.450,-0.753,-11.362,-14.426,-11.362,7950,-91.3,-116.1,-101.5,-129.0,-6.0,-6.7,-14.007
2015,2.185,-1.404,0.781,-10.582,-13.645,-10.582,7950,-85.1,-109.9,-94.6,-122.2,6.2,6.9,-13.227
2016,1.664,-2.250,-0.586,-11.168,-14.231,-11.168,7950,-89.8,-114.6,-99.8,-127.3,-4.7,-5.2,-13.813
2017,2.069,-2.074,-0.005,-11.173,-14.236,-11.173,7950,-89.8,-114.6,-99.8,-127.4,0.0,0.0,-13.818
2018,1.759,-1.770,-0.011,-11.184,-14.247,-11.184,7950,-89.9,-114.7,-99.9,-127.5,-0.1,-0.1,-13.829
2019,1.708,-2.836,-1.128,-12.312,-15.375,-12.312,7800,-98.7,-123.5,-109.7,-137.2,-8.8,-9.8,-14.957
2020,1.747,-2.052,-0.305,-12.617,-15.680,-12.617,7762,-101.1,-125.9,-112.3,-139.9,-2.4,-2.6,-15.262
,,,,,,,,,,,,,,
